city,location,text
miami,"North Miami, Fl",RT @djavega1FTW: @DJLuckyC Got the whole city locked and loaded on the #UltimateMiddayMix on @99JAMZ with @Middaychic #HeyNow 🔥🔥🔥🔥
chicago,Chicago,Everyone stays dissing the cancer babies 🙄 https://t.co/28e6aHA0Ro
los angeles,"Los Angeles, CA","RT @HitDaBoogiez: You can't even pick the right \"they're\" so I know you have no idea what you're talking about https://t.co/TMMw85Gmlr"
dallas,"Dallas, TX",This is fucking devastating and I'm here for y'all focusing on this instead of my stew. https://t.co/2Wq1XVmBAr
houston,"Houston, Texas",RT @EricHolder: McConnell/@realDonaldTrump: who do you stand with on health care? The average guy or the wealthy? You're taking care away f…
miami,"Miami, Florida","RT @Evan_McMullin: It must be said: if you're a Republican leader and you're still supporting President Trump, you own this."
houston,"Houston, TX",Waiting for the depressing tweets lets gooooooo.
chicago,"Chicago, IL","RT @sportscar365: Racing Team Nederland Targeting @Rolex24Hours, @sebringraceway LMP2 Effort: https://t.co/ITekUw2Yhu @IMSA #IMSA https://t…"
philadelphia,"Philadelphia, PA",@tastingtheheat @EddieOjeda #monster #vs #redbull #youtube #review #comment #share and #subscribe  #please Thankyou https://t.co/YHQbCZ1jM3
miami,"Miami, FL",@somhiserem Aunque este año ya Verratti ya pertenece a nike.. Lo que lo hace mucho más interesante
philadelphia,"Philadelphia, PA",RT @charlesmilander: Instagram echa mano de la IA para mantener limpios los comentarios https://t.co/oXyYBVw5yz #charlesmilander…
chicago,"Chicago, IL","C'mon, UNLV, the new logo's alright. https://t.co/roBCHLQaIp"
chicago,Chicago,@JJohnsonLaw How a real President talks about women. https://t.co/A8hvUUAk6V
chicago,Chicago - Asgard - Atlanta,"RT @Big_Rob53: Banana peppers set everything off that they're are on. Sandwiches, salads, pizza..."
los angeles,"Los Angeles, CA","Did you know that only 2% of printers are protected from a hacker attack?
https://t.co/jHH4iE8hu9"
houston,"Houston, TX","Can you recommend anyone for this #job? Procurement Process Manager - Purchase to Pay - https://t.co/7hnCBEbwka #Houston, TX #Hiring"
houston,"Houston, TX",😂🤦🏾‍♀️ https://t.co/TfULvCNHN6
miami,"Miami, Florida","Miami-Dade home sales set new record in May via @ReneMiamiHerald 

https://t.co/LYxUQmmcj1 https://t.co/wjtTL0CUZc"
los angeles,"Los Angeles, California",RT @LAPDHQ: #LAPD News: The family of Joshua Mickens &amp; @LAPDMission Dets are asking for public's help in locating him. Any info…
philadelphia,Metro Philadelphia,3 ways law firms can remain competitive. Tips from the recent Gro Pro Conference @JaffePR #LMAMKT @Kathy_OBrien… https://t.co/efiafmSgNn
miami,miami,Trendy Flyer Computer/Laptop Rolling Bag 2 Wheel Case M Brown Leopard https://t.co/H0RhhyAq1K
boston,"Boston, MA","LISTEN: Richard Rubin (WSJ, Business Tax Charge) https://t.co/Ekz7vDv7Rb"
los angeles,"Los Angeles, CA","@AlIieFx The only thing that could be more canadian is if they added maple syrup, gummy moose, and whipped cream \"e… https://t.co/EK08YO8PK0"
boston,between New York and Boston,RT @artdecaderoo: I think about this a lot https://t.co/8ozFMGrFyc
chicago,"Chicago, IL","@princebraden A table for twoooooo, and it's okay. If you take your time, eat with your hands fine https://t.co/BpFRuH4Xi9"
detroit,East Lansing & Detroit,February 10th should be fun. https://t.co/ucAuj14Luu
los angeles,"East Los Angeles, CA",RT @SideOneDummy: .@RozwellKid is good and great: photographic evidence shot by @YaDingoid: https://t.co/FnUG37YZSJ
dallas,"Dallas, TX",lemme cuff u boo :'(
los angeles,Los Angeles,"@realDonaldTrump oddly fascinated w/women &amp; blood (Mika,Megyn) explanation: Melania only bleeds a big pile of styrofoam peanuts #MorningJoe"
houston,"Houston, TX",RT @catherineeMik: Craving legit everything other than my meal prep and it sucks
new orleans,"New Orleans, LA",Bitch went against the grand and think somebody just supposed to forgive her
atlanta,"Atlanta, GA","La video \"RESPIRE\" demain ! https://t.co/nMmVGibSE0"
atlanta,Atlanta,-  https://t.co/D4fE3vUrv0
miami,Miami//Orlando,RT @ambarzilla: when you arrive at a concert vs when they're singing their last song https://t.co/cvpz48F1RA
chicago,"Chicago, IL",@OfficialDNHH These ChiCity Cypher emcees been putting in work with a positive platform...Hook us up with a shout o… https://t.co/UnB6mOt3Ln
dallas,"Dallas, TX",tune in 2mrow 7-8p @Jkruzonair n I doin a @badboyrecords take ovr on @979thebeat playing all the hits . rt to tell… https://t.co/drNoAlMXJ1
atlanta,Atlanta,-  https://t.co/QljB02uBGd
los angeles,"Los Angeles, CA",RT @T_totallycommit: Ok... I can't lie.. I wouldn't lie.... EVERY SONG goes hard.. This is real MN CLASSIC shit.. go grab…
seattle,usually not in Seattle WA,After work relaxation in Madrid https://t.co/4fzhCOgjtk
seattle,"Seattle, WA","RT @robreiner: Besides possible obstruction of justice &amp; treason, we have a childish mentally unstable bully in the WH. We have 25th Amend.…"
boston,"Boston, MA",Life is a succession of lessons which must be lived to be understood. - Hellen Keller #quote
new orleans,New Orleans,RT @Quepingabroo_: Fucking up the environment so bad the animals are starting to take matters into their own hands smh https://t.co/XxjRCdL…
denver,"Denver City, TX","RT @kerringtonnjade: Boy, I'm all you'll ever need. Stop being an idiot and realize that 🤦🏻‍♀️"
houston,"Houston, TX",RT @GirlNotes: it’s amazing how I can waste so much time doing absolutely nothing at all
dallas,Dallas / Tulsa,RT @FuckRese: When you stop hitting everybody up and see who really with you https://t.co/jtmjRjEWDJ
boston,"Boston, MA",RT @DavidDTSS: The use of a white woman as proxy for anti black violence is a tale as old as America https://t.co/QaZgi3S6vL
denver,"Denver, CO",@YoungDems4Trump  https://t.co/v20UGBBnx9
chicago,Chicago,Only Thing I Get From Arbys Is Their Curly Fries. #Fire
dallas,"Dallas, TX","RT @bessbell: I'm not a professor in behavioral psych at Yale, but it's almost as if the angry man who regularly calls people \"low IQ\" worr…"
new orleans,"New Orleans, LA",ImaginaSamba- Na Alegria Ou Na Tristeza 🎶
los angeles,Los Angeles,Here's the link -read her story- she's going to make waves with a little help from you!  https://t.co/A9cFNnttG2  - @cid_i_dennis #girlpower
chicago,"Chicago, IL",RT @iWearRedBottoms: Sex is not a fucking gift😩😩😑 stop letting these niggas play you sis.
atlanta,Atlanta,"RT @Evan_McMullin: It must be said: if you're a Republican leader and you're still supporting President Trump, you own this."
los angeles,Los Angeles,RT @edgarwright: The album 'Baby Driver: Music From The Motion Picture' is available in all formats to buy now. Or listen here:…
seattle,"Seattle, WA","RT @mikefarb1: #unhackthevote 
And here we go. GOP getting their ducks in a row for the next Election. https://t.co/LhDn1i0ONK"
boston,"Boston, MA","RT @EsemicolonR: Everything about the Death Note 2017 trailer is wrong, wrong, wrong. https://t.co/CXavQC6dFa"
los angeles,"Los Angeles, CA",Jayden threw cereal all over the floor wow I never want children
los angeles,"Los Angeles, CA",@anylaurie16 Nothing infuriates me more!
dallas,"Dallas, TX",@KatyUnderriner Go find @fishsports while you're there and ask for some donuts. https://t.co/apt1Igh5Yr
los angeles,"Los Angeles, California",he doesnt care hes so rude https://t.co/2rsEYIUmPO
los angeles,"Los Angeles, CA",RT @AdidasSupply: Blacked out boosts ⚫️🔥 https://t.co/zC1bR9XYEI
los angeles,"Los Angeles, CA",Huh. https://t.co/8iRY0bjqgf
boston,"Boston, Massachusetts","Since the gays got the Rainbow
What colors do we get lol  #HeterosexualPrideDay"
los angeles,"Los Angeles, CA",@PrincessBravato So sad so true but thank you for making me laugh!
seattle,"Seattle, WA",The latest Your #Health Today! https://t.co/3kthmCuD5j Thanks to @millerjdecembe1 @ACNPForg @alexandrabate2 #health #medicine
miami,"Miami, FL",#Microsoft readies private previews of Dynamics 365 sales and marketing apps for SMBs. https://t.co/preQZPfxFn https://t.co/cIOjVTLVek
seattle,Seattle,"ICYMI, this is the most outrageously joyous, smart, hooky song I’ve heard this year. https://t.co/tqd0T1OfXY Thank you, @deerhoof."
atlanta,"Atlanta, GA",RT @RonnieFieg: Nobody's beating this man. https://t.co/8CcVMenNzU
miami,"South Beach, Miami",RT @MiamiDadePD: It's hard to concentrate on two things at the same time #ItCanWait #DriveSafe https://t.co/hva3LTB0Qj
philadelphia,"Philadelphia, PA",RT @ColumbiaPsych: There's More Proof That #Ketamine Works for #Depression via  @time https://t.co/Q59zEZc3LY
los angeles,"Los Angeles, CA",@coldplay I love it!
dallas,"Dallas, Tejas, USA",RT @nytmike: Saw this in a DC office yesterday. Thought it was a pretty creative take. https://t.co/dKzYL09oax
houston,"Houston, TX",Heard Spring varsity team got slayed today by Marines 😂
atlanta,"Atlanta, GA",RT @1CKENT: we all get the same 24hrs in s day
seattle,"Seattle, via Australia",RT @TrueFactsStated: Just as senior WH worked with senior Military officials during Nixon's last days-the adults are taking command. https:…
dallas,"Dallas, TX",@CasanovaEdwards Well okay https://t.co/9lYe6S8bWR
philadelphia,"Philadelphia, PA",RT @RobertHarrell9: Price check on Hopkins @ChrisWhitman11 @DynastyHHPod @DynastyDorks @DoOrDynasty @DynastyExpert @FFD260 @ff
detroit,Detroit,This the shit you wake up to in a group chat https://t.co/RWCf6GWyF2
los angeles,Los Angeles,"RT @ddale8: I find \"don't spend time discussing the president's sexism because there's POLICY happening\" a weird argument. Multiple things…"
los angeles,"Los Angeles, CA",and we never gone care😂 https://t.co/SgedRmWGLB
los angeles,"Los Angeles, CA",@criticaldick @DrDenaGrayson @LouiseMensch @TrueFactsStated @counterchekist @lauferlaw Yup... consolidation of powe… https://t.co/dy02ozKOje
miami,"Miami, FL",😂😂😂Glad I Ain't Go.. TBH that school ain't got nothing to offer but good parties 🎉💯 https://t.co/WgLTpVFVVe
los angeles,"Los Angeles, CA",Hahahahaha hi @sophiamendoza56 https://t.co/9SwbKqlh06
houston,houston,RT @NasMaraj: Y'all realize it's been a whole ass week and blue lives matter is silent on this https://t.co/mLZ9TdHS1z
dallas,"Dallas, TX",RT @Thouxanbanfauni: Damn Yungin 🙏🏾 https://t.co/lnphJdKLSB
houston,Houston,"SENIOR CUSTOMER SERVICE CLERK – City of Houston, TX – Houston, TX – Houston Jobs https://t.co/IrSwRidGKo"
los angeles,"Los Angeles, CA","RT @KJHYE29: 문재앙, 미국 가서 장진호 전투 참전 용사들 앞에서 또 사고쳤다 https://t.co/RgoaVxjyyT 진짜..왜그러세요???이니아저씨 왜 맨날 거짓말해요????우상화작업도 모자라서 미국상대로 거짓말을…"
los angeles,south central los angeles 🌴,RT @shaterly_xo: Rt if you drink water everyday 🗣 https://t.co/7AyKN4tCw5
dallas,Dallas,RT @Hawrror: @Mikejohnson214 TONIGHT WE GRIND
chicago,"Chicago, IL",@larryislegend Got them lil shits in his head
atlanta,"Atlanta, GA","@BraddJaffy Glad he views misogynist, degrading rhetoric as simply a \"dipsy-doodle\". I'd hate to see what he thinks… https://t.co/3h3Q1R7EDY"
miami,"Miami, FL",@Jaylinemonroe https://t.co/770Agxep7v
houston,"Houston, TX",RT @KylieJDaiIy: kylie \\ tiller https://t.co/LyBBXBfcgj
atlanta,Atlanta,"#TrynaGetLit  
HouseParty 
This Saturday
765 Coleman St Sw ATL, Ga
https://t.co/qsE6gNiqSY"
chicago,"Chicago,IL",Yess!! https://t.co/kFdteN7I44
atlanta,"Atlanta, Ga","Actor/Actress [Luther Patton JR + Natasha Stewart]
#UNBROKENdocumentary #AuthorTamaraCharles… https://t.co/NErHeKEUDv"
miami,"Miami, FL",RT @Iad3uxieme: Imma just assume y'all never dated a nigga who cares about y'all cause this is the most basic shit ever. lmao https://t.co/…
atlanta,"Atlanta, GA","RT @Big_Rob53: Banana peppers set everything off that they're are on. Sandwiches, salads, pizza..."
chicago,That cHicago Over There,@BigDipperJelly @1800FEELION @teenwitchfc @BerlinNightclub @its1833 @Do312 🍉🍒thank you @Do312 &amp; @Stardustberlin for… https://t.co/9xcO5g4vUI
los angeles,"Los Angeles, CA",RT @ImActuallyPapo: Perfect cover 😍 https://t.co/sDaREj4yCY
houston,"Houston, TX",فرحانين الحين 😐 https://t.co/3aSnM8x55d
seattle,"Seattle, WA",😁 Nice find today! https://t.co/Tn4jTcO3mp
denver,"Denver, CO","RT @TheOtherLRH: New Video I Cut For @milehigh_ness 
#Hiphop #Rap #DenverHipHop #ColoradoHipHop #Music #LocalArtist #MusicVideo
https://t.c…"
dallas,Dallas,-  https://t.co/bJU54TBHYT
dallas,"Dallas, TX",RT @SPAZZZtv_: I can't believe the amazing support I have gotten lately you guys are amazing thank you everyone who subbed yesterday you al…
chicago,Chicago,Tryin to shop on the Diesel website and man I just don't know. https://t.co/C5iGU0zBXl
boston,"Boston, Mass.",".@MassDER has awarded over $1.3mil to river restoration projects in Taunton, East Bridgewater, Falmouth &amp; Plymouth:… https://t.co/aShZDPhvvt"
denver,"Denver, CO",RT @OfficeScenes: Possibly one of the greatest TV scenes of all time https://t.co/ZVGOnTvfpj
atlanta,"Atlanta, GA","#YoungNudyAtMansion TUESDAY 4TH OF JULY 18+

EVERYONE FREE ALL NITE

FIRE BREATHERS 
FIREWORKS

Doors open @9!!

https://t.co/ovTsw3Sxry X10"
houston,"Houston, Texas",I liked a @YouTube video https://t.co/fv8gg519Qe METALLIC BLACK BATH BOMB | Black Friday
los angeles,"Los Angeles, CA",RT @ChefResha: they wanted to see if a thick ass book to his chest could stop a bullet from close range. it did not. next. https://t.co/oxF…
miami,"Miami, FL",Instruction - Jax Jones ft Demi Lovato &amp; Stefflon Don #Radio #Music #Live #NP #HipHop #Pop #Rap https://t.co/RDxsdm7Sx8
houston,Houston,Lmao same https://t.co/SH1OR2CMnS
chicago,"Chicago, IL USA",I liked a @YouTube video https://t.co/GOCLSRB8Pc Valuation Warning Signs Are Flashing - 29 Jun 17 | Gazunda
dallas,"Dallas, TX","RT @httpsRid: Kalau terjaga tengah malam rasa nak buang air, jgn mendongak ke atas. Takut nanti ada yg mencangkung dari atas dgn rambut pan…"
houston,houston✧,RT @JoelOsteen: Make sure the people you spend time with have qualities that you want. Choosing the wrong friends can steal your destiny.
detroit,"Detroit, MI","RT @jules_su: @realDonaldTrump YOU ARE LYING! You wanted to make $800 billion in cuts, INCLUDING Medicaid! Where is that money coming from…"
dallas,"Oak Cliff, Dallas",RT @IStolePacsJuice: 😂 I'm listening to Wild Thoughts and Rihanna said it https://t.co/8c2gSUYzMF
atlanta,"Atlanta, GA via Kingston, JA",RT @johnlegend: I see Melania's campaign to end cyber bullying is off to a slow start
dallas,"Dallas, TX","RT @LindseyGrahamSC: Mr. President, your tweet was beneath the office and represents what is wrong with American politics, not the greatnes…"
atlanta,"Atlanta, Ga","#YoungNudyAtMansion TUESDAY 4TH OF JULY 18+

EVERYONE FREE ALL NITE

FIRE BREATHERS 
FIREWORKS

Doors open @9!!

https://t.co/j5Kv3JiIq6 X12"
los angeles,Las Vegas/Los Angeles,"RT @funder: Video: \"No I'm not into anal\" Donald Trump 🤢
 https://t.co/aTEQAICWJj"
los angeles,Los Angeles,"RT @MarkKornblau: Never imagined a day when I would think to myself, \"it is beneath my dignity to respond to the President of the United St…"
chicago,Chicago Made,RT @spacesuppIy: intergalactic https://t.co/gIDIagqcqM
atlanta,"Atlanta, GA",Boxing Video: Jeff Horn not in same stratosphere as Manny Pacquiao - Teddy Atlas wonders if will can beat skill (E… https://t.co/pJrtuNbvDo
miami,Ft.lauderdale/Miami/Orlando,RT @Y_Breezyy: @_TKGoldman  https://t.co/zPcOvgojTh
houston,"Houston, Texas",How a #lymphoma survivor approaches life after #cancer and copes with the fear of recurrence:… https://t.co/iHZnSf3Q3N
los angeles,"Los Angeles, CA",RT @hautechateau: omg my family we out here 😭🤢💖 https://t.co/IooD9QZ2hz
los angeles,"Los Angeles, CA",RT @ZinabSherif: Just take it in .. https://t.co/6digF3emSk
philadelphia,PA Philadelphia,"RT @danieldovel: Wow, I am so excited for you guys to see tomorrow video!!!"
seattle,"Seattle, WA",RT @NatalieBrandK5: New: Mayor to make announcement this morning. Source confirms to @KING5Seattle that Murray will *not re-enter race as w…
atlanta,"Atlanta, GA",I posted a new video to Facebook https://t.co/6n7c0Oj291
boston,"Boston, MA","#NBA Wire: NBA gets high grades again for race, gender hiring https://t.co/JPsO5COdk4 https://t.co/EllqvE1oPL"
los angeles,"Los Angeles, CA",RT @axajii: I liked a @YouTube video https://t.co/CLmSqoxnXl How and Why I joined @SoaRGaming!
seattle,"Seattle, WA",@NatalieBrandK5 @KING5Seattle Really
miami,Miami Gardens,-  https://t.co/mfPuYHwdIp
dallas,"Dallas, TX",RT @alicialopezz: ‼️‼️‼️ https://t.co/YmoAPAKQYB
seattle,"Seattle, USA",Amazon Prime Day 2017 is July 11 https://t.co/sN4tAwCOXE @slideme https://t.co/UsmpDET4Jr
philadelphia,"Philadelphia, PA",RT @PRiNCEAK_: This film is the goat. Man like prince Akeem and that https://t.co/iOB2sXJqRT
los angeles,"Los Angeles, CA",RT @cydwade: #bridetribe #bridesmaid #BacheloretteParty #bridetobe #wedding #girlsNightOut https://t.co/AiFxm4suWW https://t.co/XgiOwZsAI3
detroit,"Detroit, MI",RT @dvnnyphvntvm: He lied? Lmfao niggas ain't shit https://t.co/3eorqyKZWO
houston,"Houston, TX",RT @Mario200thousnd: #WaifuWednesday New waifus for this week! Fire Emblem edition! Many good girls I've been meaning to add. 😊❤️ https://t…
seattle,"Seattle, WA",Men can prove to me that they deserve to be humanized. Till then I'm gonna keep treating you exactly for who and what you are: garbage
boston,"Boston, MA",RT @TheJovenshire: Uploaded a new video with @LaserCorn to my channel talking about #SpiderManHomecoming and Venom and Carnage…
miami,"Miami, Florida",RT @MarkusSchulz: 14. @DaniloErcole - Digital #gdjb https://t.co/AZLQ8aJk5i
chicago,"Atlanta, GA • Chicago, IL",RT @naejasme: 63N7R1F1C4710N https://t.co/y1rEixQvBm
los angeles,Los Angeles California,RT @ArianeBellamar: @LindseyGrahamSC State media @seanhannity is responsible for triggering the deranged clown 🤡 this time. #TeamMika…
los angeles,Los Angeles vicinity,RT @DaddyFiles: @realDonaldTrump You are a fucking disgrace.
houston,"Houston, TX",RT @thisfooo: SU WOO https://t.co/MikLfdiVkT
atlanta,Atlanta,After he's hit all your spots and stolen your soul... #ComingToAmerica https://t.co/qwshY2kuWd
chicago,"Chicago, IL",RT @BadHombreNPS: @EPAScottPruitt @SpeakerRyan I updated the #TimeCover with a few extra people that earned a place on it. RT if you…
chicago,Chicago,The latest ICAH Daily! https://t.co/9ZMblacvHC Thanks to @NSVRC @Latinas4RJ #thisisrj #rockford
chicago,"Chicago, IL",RT @KillianTrill: Because they're fucking coconuts https://t.co/gyr6QGZ1BL
philadelphia,"Philadelphia, PA",This horrific video is pure propaganda. We're on the brink of war. https://t.co/7MJeQHWldH
los angeles,"Los Angeles, CA",A new wave of #CRE #coworking has emerged built upon the hospitality industry which targets members who ‘hotdesk’: https://t.co/BWyZl8uQPX
los angeles,HOUSTON|ATLANTA|LOS ANGELES,Miami FLA are you ready! Friday july 7th I will be performing live along with @tee_grizzley https://t.co/F4N6sAu1Ow
new orleans,New Orleans Eastside,RT @_AirOne11: Niggas don't want you to do your thing
los angeles,"Los Angeles, Ca",RT @goldiijuiice: @sukkaafree_ Niggas still playing games out here 😴😴😴😴
houston,North Houston,RT @Devin_Walker5: John Wall has the most ridiculous high school mixtape of all-time. 👀 https://t.co/Bst8DEUD2y
philadelphia,"Philadelphia, PA","@JohnduBois @debaucherhi With a guy out front in a sleeveless flannel shirt saying \"the gun store is this way\" *flex*"
atlanta,"Atlanta, GA",RT @_mkillv: When that direct deposit hit your account https://t.co/jbh8zI7Rle
chicago,"Chicago, IL",R.E.M. - Bittersweet Me : #NowPlaying #np @ https://t.co/hsJbJgoaQj
atlanta,Atlanta,-  https://t.co/UtE80cwnZs
houston,Houston,"RT @miseleccionmx: ¡LOS QUEREMOS VER CON LA VERDE BIEN PUESTA! 🙌🏻🇲🇽

Entra a tu vestidor 👉🏻 https://t.co/J0JsHUhPhs  y equípate como n…"
boston,Boston,@CapehartJ @realDonaldTrump And deplorable....
chicago,"Chicago, IL, USA, Earth","RT @brownjenjen: 06-07 Hands-On With iPhone SE, 9.7’ iPad Pro, and New... #Apple https://t.co/ZzRQm5jYbL"
los angeles,"Los Angeles, CA",RT @shaterly_xo: Rt if you drink water everyday 🗣 https://t.co/7AyKN4tCw5
houston,"Houston, TX",RT @Squadelujah: When she order steak and lobster and you only got money for chicken https://t.co/zDLgi15vUy
los angeles,Los Angeles,Issa healthy snack! 🍃🌴 Use code VACAY for 40% off! ☀️ https://t.co/CDBpzMFDdk
boston,"Boston, Massachusetts",To celebrate this makes you a bigot. GTFOH with that bs we can be proud to be who we are too. #HeterosexualPrideDay
miami,"Miami, FL",New video will be out today guys!!! #YouTube #video #grind #fun #Entertainment #funny #challenge #YouTubeVideo
houston,"Houston, TX",RT @LilTunechi: 4:44 x @S_C_ x 6/30 https://t.co/ZCyugjXFWP #TIDALXSprint https://t.co/xs9Lr4lMne
los angeles,Los Angeles,@ycphillips @InVisionApp Iz fun isn't it… https://t.co/D9sRnA2zwd
boston,"Boston, MA","Join the Citizens Bank team! See our latest #job opening here: https://t.co/ZibYqwHPpc #cfgjobs #Banking #Chelmsford, MA #Hiring"
philadelphia,Philadelphia,"Hello World, when stranger on the street ask about my 'blood brother', I say no comment.
Not delusional. Full stop."
los angeles,"Los Angeles, CA","A little #HospitalGlam from my eventful day of doctor appointments yesterday!

Saw my rheumy to… https://t.co/sspVYwcgJM"
houston,Houston,RT @iHangout2: cabroncita: Jet Life Penny Stocks: $AFOM News is out! https://t.co/QOM6p9Rab8 #InvestorsHangout
los angeles,"los angeles, chile",RT @MegaDeportescl: Para repetirlo una y otra vez: El emocionante relato de @trovadordelgol_ de la clasificación de Chile a la final…
houston,"Houston, TX",RT @TheShadeRoom: Who else was waiting for her to fall?! 😂 she did that though!! https://t.co/I3dCLVltz8
chicago,Chicago,"Chicago Cubs Lineup: Rizzo Moves Down, Russell Returns, Bryant Sits https://t.co/4wi9jwptGK"
miami,Miami,Shit look dope but y'all could've called this anything else besides Jumanji. https://t.co/VVtWM3gfME
los angeles,Los Angeles,He thought a book would stop a bullet and make him a YouTube star. Now he's dead. https://t.co/IdhEpqatbu via @SFGate
miami,Miami,I appreciate Calvin Harris narrowing down Funk Wav Bounce to 10 track. Calvin man... https://t.co/zsiXzm3b72
los angeles,"Los Angeles, CA",RT @samswey: That NRA video is basically the white equivalent of an ISIS recruitment video.
atlanta,"Atlanta, GA",RT @TajReana_Cee: yesssssss https://t.co/VQ1mszRtB6
new orleans,"New Orleans, LA",RT @Quepingabroo_: Fucking up the environment so bad the animals are starting to take matters into their own hands smh https://t.co/XxjRCdL…
new orleans,"New Orleans, LA",Pic to the left explains me. https://t.co/3vUhi8S7pv
houston,"Houston, TX",RT @vuhsace: When you chillin at your white friend’s crib and he punch his mom in the face https://t.co/g0dJWPa7nV
new orleans,"New Orleans, LA","@BigOskiWooski @JChanDaLand Idk, but I call in personal favors from Lil Wayne to perform during our draft weekend y'all just... smh"
miami,"Miami, FL",RT @Benoo_Brown: He said I've been to the year 3000 not much has changed but they sleep underwater https://t.co/KtowraOu01
philadelphia,"Philadelphia, PA",RT @helllodaria: Yes daddy I see you in that helicopter. @nickjonas https://t.co/VPuBmbt9ze
atlanta,ATL East Atlanta Village,"Shop online
Link in bio
#envyearcandi  #art #accessorybully  #accesoryoftheday  #customearrings… https://t.co/wztiHzO6nE"
houston,"Houston, TX",RT @woahaydrian: I wouldn't be able to go up these sober either https://t.co/r7UzDF4rnC
dallas,Dallas Texas,Enter for FREE to win a Coleman 8 Person Tenaya Lake Fast Pitch Cabin Tent with Closet worth $199! https://t.co/ZoxRFarNhh
seattle,"Seattle, WA Rain City",RT @GillianA: And 2 out of 207 eps directed by women. I too look forward to the day when the numbers are different.…
miami,"Miami, FL",RT @rapspotlights: When you #1 https://t.co/MaPV0i4ous
los angeles,"Los Angeles, CA",@NinjaJournalist Spoiler alert:  It's because it was a secret.
los angeles,"Los Angeles, CA",RT @21bestmote: カレーうどん https://t.co/3aiFWQIx0G グルメランキング☆ [楽天] https://t.co/cBW73Mwfyn
chicago,Chicago,Important Points of Berlin https://t.co/xX62ykTV5v https://t.co/wu5bSAsQBj
dallas,"dallas,tx",RT @Xbox: Log in to Xbox Live in the Xbox app for a chance to win up to $499 in Microsoft Store credit https://t.co/QFm1PdJi8P https://t.co…
los angeles,"Los Angeles, CA.",@Driihislike Apostar em time safado da nisso shaushaushau tô rindo pra não chorar
atlanta,"Atlanta, GA",RT @Mills_Light: We knew that when we walked in. Mind your business. https://t.co/jeKEJesCXM
chicago,chicago,half the rap industry after they find out that rihanna is into arabs https://t.co/pSD2c0mitK
chicago,Chicago,RT @1kCobi: my dumb ass gone be the one that end up in the water https://t.co/EYVrptXzvl
los angeles,"Los Angeles, CA",RT @BrunoAmato_1: Dear @FLOTUS how is that #CyberBullying initiative working out?? https://t.co/BMx7k9AXav
detroit,"Detroit, MI","RT @CusfuI: my dad told me \"if a man cares about you, you won't ever have to wonder how he feels, he'll constantly remind you\" and that rea…"
dallas,DC via Dallas,"Nice description for how we define 'the best': \"We look for a combination of potential and realized potential.\" https://t.co/oI0DRsey1u"
atlanta,"Downtown, Atlanta",When there have been so many times where you felt his true feelings but you blew it off and now everything is coming to the light
houston,"Houston, TX",RT @dearmrria: @SAINTEsays it's out in the philippines!!!! this is my favorite 👀 https://t.co/kbNNoUScof
miami,Miami Gardens,-  https://t.co/4Fx6M4ue8A
miami,Miami☀✊🏾,RT @WhitneyFurr1: Cane is fired and Lily about to ✌. He's about to lose it! #YR
dallas,dallas,RT @TokeSquad: Duh lol https://t.co/Usxt3DWW5Y
dallas,"Dallas, TX",RT @SoDamnTrue: I have never related to a gif more in my life I SWEAR https://t.co/Ms731DSEPx
los angeles,"Los Angeles, CA","RT @VogueSpain: Lo sentimos por #ParisHilton, pero el verdadero icono de los 2000 es #ChristinaAguilera (y las 'celebs' lo saben).…"
dallas,"Dallas, TX",#security CVE-2017-5529 https://t.co/HkJqCcZmWD #infosec
boston,Boston,How to market yourself without bragging... https://t.co/qIr4BpHsV5
atlanta,"Atlanta, GA",I'm the type if I really love you I'll show it ❤💯♌
philadelphia,Philadelphia,-  https://t.co/4OQtnijH9T
atlanta,"Atlanta, GA",2 people followed me and one person unfollowed me // automatically checked by https://t.co/d7OtDL1uaL
denver,"✨ Moving to Denver, CO ✨","@_miwakugeki of all consequences and my masculinity is in tact.\""
los angeles,Los Angeles,RT @IowIitf: 11. Milk is disgusting????? It tastes so freaking bad it's only good if you add Nesquik. https://t.co/6GAvOtowsN
dallas,"Dallas, TX",@Landonsn Same here bro
houston,"Houston, TX",RT @ItsGreysHumor: Season 13 is on Netflix!! https://t.co/kgQhoLQg1M
miami,"Miami, FL","Ayer la Seguridad del Estado en Cuba intentó engañar a Cervantes con una supuesta negociación. 
Se presentaron... https://t.co/EwWwIrFTdE"
chicago,Chicago/Nigeria,RT @foreign_bloodd: African women 🌹🌹😌 https://t.co/qNm7xfcK8Y
chicago,"Chicago, IL",RT @GirlPosts: Approximately how long you should be upset over a guy https://t.co/QyKqxbnUVt
houston,"Houston, TX",RT @_benjvmins_: the problem with a lot of us is that we listen to respond and not to understand. listening means nothing if you're not goi…
chicago,"Chicago, IL",@craftbattle201 @DaanGives @Secless Ok
denver,"Denver, Colorado","RT @jonfavs: If you think Trump's tweet was bad, just wait until you hear White House staff, conservative media, and some Republicans defen…"
new orleans,"New Orleans, LA",@Hondurangal_xox lol is there a problem ?
chicago,"NY, Chicago.","RT @WIFV_DC: Join us on Monday, July 10 to watch and review Mike Kravinksy's new film, \"Nothing To Do\". Register now at:…"
new orleans,"New Orleans, LA",RT @ItMeIRL: Me irl https://t.co/f7Ljp9DB2e
